years_in_field,years_in_role,job_title_open,job_category_select,org-type_select,team-size,org-size_bucket,org-uxr-maturity_bucket,desc-of-work_open,reops-member_bucket,org-skill-ladder_bucket,org-reops-supt_bucket,work-towards-goal_bucket,goal-desc_open,goal-desc_tags,craft-important_1,craft-important_2,craft-important_3,craft-desired_1,craft-desired_2,craft-desired_3,craft-write-in_open,h1_biz-strategy_rating,h2_delivery-disciplines_rating,h3_org-diplomacy_rating,h4_service-conceptual_rating,h5_stakeholder-mgmt-comms_rating,h6_project-mgmt_rating,h7_research-process-mgmt_rating,h8_reops-prowess_rating,h9_technical-research-skills_rating,h10_persuation-articulation_rating,h11_interpersonal-relationships_rating,h12_prof-relationships_rating,h13_mindful-work-reflection_rating,biggest-challenge_open,biggest-challenge_tags,explore-excited_open,explore-excited_tags,one-next-step_open,one-next-step_tags,optional-other_open
1.5,1.5,Mangement consultant,other,In-house private sector,200,"1,001+",Early,"Organizational research, service design, design strategy",No,Yes,No,Yes,Transitioning from management consulting to design strategy to UX research,"Transition to UX,focus on research",503,604,301,502,301,601,,2,3,4,3,3,4,4,3,4,4,3,4,3,Client being a barrier (advocate on user behalf); limited opportunities to interact w end users / observe users in natural work setting,"evangelize research / value,communication/storytelling",Customer journey mapping; translating research into actionable insights,"journey mapping,impact/actionable insight","Participate in client workshop; learn to design graphics for experience map deliverables; other, more tangible UX skills","workshops/design sprints,graphics/visuals,communication/storytelling",
10,4,Design researcher,researcher,Public sector,20,101–500,Progressing,Generative and evaluative research,Yes,No,No,Yes,"Selling competitive research, domain research, and generative research as a service","Evangelize research,generative/expl research,research as a service",501,311,610,606,505,506,,4,4,5,3,4,3,4,5,5,5,3,4,3,Trust and stakeholder buy-in (changing definitions of design); democratizing research,"trust/buy-in,consistency,training/supporting",Developing a research curriculum; selling research,"training/supporting,evangelize research","Writing a research ""brief""",research brief/requirements,Lots of workshop participants noted that implementation is where they became unhappy
2,2,Business partner for sectors (UX Lead),designer,Public sector,0,"1,001+",Laggard,"User interviews, field studies, UX planning, stakeholder workshops, user testing",Yes,No,No,Yes,Helping UX designers/researcher join the leadership of companies,scaling/expanding the scope,610,501,303,508,401,302,,4,1,3,2,3,2,3,1,4,4,4,4,2,Stakeholder management — changing their expectations from traditional design to UX,stakeholder & expectation mgt,Helping designers become part of the leadership in their companies so they can influence from the top down.,support research leadership,I started a publication to connect UX to business impact,"publication,ROI",
8,3,Senior UX Researcher,researcher,In-house private sector,1,11–20,Progressing,Research on service client needs to inspire product ideas and move org from service to product business model,Yes,No,No,I'm not sure,More rigorous and standardized processes,rigour/standards,609,610,505,606,204,407,,4,4,4,4,3,4,5,3,5,4,5,3,2,Time allocated for doing analysis and developing robust processes,"rigour/standards,time",Explore = research repositories. Excited about = a more strategic design effort at my company,"repos,strategy",Work w coworkers to develops plants to align with organizational goals,collaboration,
5,0.7,Quantitative researcher,other,In-house private sector,73000,"1,001+",Mature,"Interview members (Fortune 500), HR leaders. Discover a problem. Design survey. Clean data, analyze data, write out data findings. Present to members. Publish 3+ deliverables every quarter.",No,,No,Yes,I'm working on entering the career/field of UX research. Currently lead user insights for a non-profit in India as a volunteer,"generative/expl research,Transition to UX",302,107,103,408,610,601,,2,,5,,3,,4,,,1,,,,"Data exploration. Having a large dataset and thinking ""now what"" — especially when your first hypothesis isn't being supported ",misc,Health tech industry and learning more about consulting,new job/role,Research health tech company (?) UX research requirements,"research brief/requirements,health care",
9,1,UX Design Lead,designer,In-house private sector,1,11–20,Progressing,Research and design towards transitioning our org from service-oriented to product-oriented,No,No,No,No,,,408,607,609,208,605,,,4,4,3,4,3,4,4,3,4,4,4,1,3,"Making space for it when company is in execution mode, balancing ongoing research + design + implementation","time,parallel processes & responsibilities",Dig deep in healthcare + new job,new job/role,,,
4,2,(Former) Research coordinator,other,In-house private sector,2,11–20,I'm not sure,"Research landscaping reports, surveys, interviews",No,No,No,Yes,Design thinking,Design Thinking/Service Design,301,305,204,407,610,507,,,,,,,,,,1,1,,,,Building buy-in,trust/buy-in,"Design thinking, organizational design","design thinking/service design,org design",Summer of Design (DTDC),misc,
10,,Management and program analyst,other,Public sector,,"1,001+",I'm not sure,Applied research — understanding how to leverage text-based narratives from a variety of contributors,No,Yes,Yes,No,,,110,205,601,408,609,504,,4,2,2,5,4,4,4,2,3,3,4,3,2,People don't understand my discipline,"evangelize research / value,misc",Combining qualitative and quantitative data to tell the story,"mixed methods,communication/storytelling",,,
3,0.3,Interaction Designer -> UX Architect,designer,Agency,,101–500,I'm not sure,Interaction design — designing flows and wireframes with some (but not enough) research to work from,Yes,No,No,Yes,Yearn to have a more significant impact on product; explain/persuade others about the value of research; get more practice with methods,"(product) impact/actionable insight,Evangelize research,methods practice/skills",502,312,601,503,301,601,,4,3,3,4,3,2,2,1,3,2,3,3,3,Getting project team to recognize the value of rigorous research,rigour/standards,"Collaboration, workshop with stakeholders","collaboration,workshops/design sprints",Be research lead on an upcoming project,lead/manager role,
2,1,UI/UX Designer,designer,Public sector,0,21–50,I'm not sure,,No,No,No,Yes,Be heavily involved in concept development / usability testing. Have research drive product decisions,"(product) impact/actionable insight,scaling/expanding the scope",610,607,605,501,504,610,,5,3,3,4,2,4,2,2,2,3,2,2,2,,,,,,,
